section_id,course_id,content_name,content_file
3,ARCH2002,Overview on Topic 3,Overview on Topic 3.wav
3,ARCH2002,Scope of Topic 3,Scope of Topic 3.xls
3,ARCH2002,Objectives for Topic 3,Objectives for Topic 3.pdf
4,ARCH2002,Methodology for undertaking Topic 4,Methodology for undertaking Topic 4.mp4
4,ARCH2002,Methodology for undertaking Topic 4,Methodology for undertaking Topic 4.wav
4,ARCH2002,Data Collection based on Topic 4,Data Collection based on Topic 4.ppt
5,ARCH2002,Assumptions to be made in regards to Topic 5,Assumptions to be made in regards to Topic 5.jpg
5,ARCH2002,Literature Review from Topic 5,Literature Review from Topic 5.mp3
5,ARCH2002,Findings about Topic 5,Findings about Topic 5.svg
1,ARCH3003,Research Questions to assist onTopic 1,Research Questions to assist onTopic 1.pdf
1,ARCH3003,Assumptions to be made in regards to Topic 1,Assumptions to be made in regards to Topic 1.flac
1,ARCH3003,References on Topic 1,References on Topic 1.docx
1,ARCH3003,Research Questions to assist onTopic 1,Research Questions to assist onTopic 1.mp4
1,ARCH3003,References for Topic 1,References for Topic 1.xls
2,ARCH3003,Future Directions to Topic 2,Future Directions to Topic 2.svg
2,ARCH3003,References on Topic 2,References on Topic 2.flac
2,ARCH3003,Recommendations to Topic 2,Recommendations to Topic 2.xml
2,ARCH3003,Experimental Setup for Topic 2,Experimental Setup for Topic 2.pptx
2,ARCH3003,Findings about Topic 2,Findings about Topic 2.mp3
3,ARCH3003,References for Topic 3,References for Topic 3.csv
3,ARCH3003,Experimental Setup for Topic 3,Experimental Setup for Topic 3.pdf
3,ARCH3003,Data Analysis in the findings of Topic 3,Data Analysis in the findings of Topic 3.mp4
3,ARCH3003,Results from Topic 3,Results from Topic 3.flac
3,ARCH3003,Data Collection based on Topic 3,Data Collection based on Topic 3.jpg
4,ARCH3003,Data Analysis in the findings of Topic 4,Data Analysis in the findings of Topic 4.mp3
4,ARCH3003,Scope of Topic 4,Scope of Topic 4.flac
4,ARCH3003,Objectives for Topic 4,Objectives for Topic 4.docx
4,ARCH3003,Recommendations to Topic 4,Recommendations to Topic 4.jpg
4,ARCH3003,Future Directions to Topic 4,Future Directions to Topic 4.mp3
5,ARCH3003,References on Topic 5,References on Topic 5.mp4
5,ARCH3003,Overview on Topic 5,Overview on Topic 5.ppt
5,ARCH3003,Findings about Topic 5,Findings about Topic 5.jpg
5,ARCH3003,Data Collection based on Topic 5,Data Collection based on Topic 5.pdf
5,ARCH3003,Overview on Topic 5,Overview on Topic 5.pptx
6,ARCH3003,Overview on Topic 6,Overview on Topic 6.xml
6,ARCH3003,Results from Topic 6,Results from Topic 6.xls
6,ARCH3003,Research Questions to assist onTopic 6,Research Questions to assist onTopic 6.xml
6,ARCH3003,Background Information on Topic 6,Background Information on Topic 6.docx
6,ARCH3003,Recommendations to Topic 6,Recommendations to Topic 6.mov
7,ARCH3003,Research Questions to assist onTopic 7,Research Questions to assist onTopic 7.pptx
7,ARCH3003,References for Topic 7,References for Topic 7.doc
7,ARCH3003,Conclusion on Topic 7,Conclusion on Topic 7.html
7,ARCH3003,Methodology for undertaking Topic 7,Methodology for undertaking Topic 7.json
7,ARCH3003,Assumptions to be made in regards to Topic 7,Assumptions to be made in regards to Topic 7.pdf
8,ARCH3003,Data Collection based on Topic 8,Data Collection based on Topic 8.mp3
8,ARCH3003,Findings about Topic 8,Findings about Topic 8.mp4
8,ARCH3003,Objectives for Topic 8,Objectives for Topic 8.jpg
8,ARCH3003,Limitations on Topic 8,Limitations on Topic 8.mov
8,ARCH3003,Scope of Topic 8,Scope of Topic 8.pptx
9,ARCH3003,Objectives for Topic 9,Objectives for Topic 9.pdf
9,ARCH3003,Conclusion on Topic 9,Conclusion on Topic 9.mp3
9,ARCH3003,Results from Topic 9,Results from Topic 9.pdf
9,ARCH3003,Overview on Topic 9,Overview on Topic 9.wav
9,ARCH3003,Introduction to Topic 9,Introduction to Topic 9.pptx
1,ARCH4004,Overview on Topic 1,Overview on Topic 1.pptx
1,ARCH4004,References on Topic 1,References on Topic 1.mp3
1,ARCH4004,Scope of Topic 1,Scope of Topic 1.jpg
1,ARCH4004,Data Collection based on Topic 1,Data Collection based on Topic 1.xls
1,ARCH4004,Data Collection based on Topic 1,Data Collection based on Topic 1.mp3
2,ARCH4004,Experimental Setup for Topic 2,Experimental Setup for Topic 2.mov
2,ARCH4004,Future Directions to Topic 2,Future Directions to Topic 2.pptx
2,ARCH4004,Scope of Topic 2,Scope of Topic 2.mov
2,ARCH4004,Experimental Setup for Topic 2,Experimental Setup for Topic 2.mov
2,ARCH4004,Results from Topic 2,Results from Topic 2.mov
3,ARCH4004,Research Questions to assist onTopic 3,Research Questions to assist onTopic 3.pdf
3,ARCH4004,Recommendations to Topic 3,Recommendations to Topic 3.wav
3,ARCH4004,Results from Topic 3,Results from Topic 3.wav
3,ARCH4004,Data Collection based on Topic 3,Data Collection based on Topic 3.json
3,ARCH4004,Overview on Topic 3,Overview on Topic 3.pptx
4,ARCH4004,Conclusion on Topic 4,Conclusion on Topic 4.ppt
4,ARCH4004,Introduction to Topic 4,Introduction to Topic 4.txt
4,ARCH4004,References for Topic 4,References for Topic 4.xls
4,ARCH4004,Assumptions to be made in regards to Topic 4,Assumptions to be made in regards to Topic 4.jpg
4,ARCH4004,Overview on Topic 4,Overview on Topic 4.xls
5,ARCH4004,Experimental Setup for Topic 5,Experimental Setup for Topic 5.doc
5,ARCH4004,Recommendations to Topic 5,Recommendations to Topic 5.pdf
5,ARCH4004,Data Collection based on Topic 5,Data Collection based on Topic 5.mov
5,ARCH4004,Background Information on Topic 5,Background Information on Topic 5.flac
5,ARCH4004,Introduction to Topic 5,Introduction to Topic 5.pptx
6,ARCH4004,Data Collection based on Topic 6,Data Collection based on Topic 6.pdf
6,ARCH4004,Limitations on Topic 6,Limitations on Topic 6.txt
6,ARCH4004,Future Directions to Topic 6,Future Directions to Topic 6.wav
6,ARCH4004,Experimental Setup for Topic 6,Experimental Setup for Topic 6.ppt
6,ARCH4004,Background Information on Topic 6,Background Information on Topic 6.docx
7,ARCH4004,Data Collection based on Topic 7,Data Collection based on Topic 7.wav
7,ARCH4004,Limitations on Topic 7,Limitations on Topic 7.mp4
7,ARCH4004,Conclusion on Topic 7,Conclusion on Topic 7.txt
7,ARCH4004,Scope of Topic 7,Scope of Topic 7.pdf
7,ARCH4004,Overview on Topic 7,Overview on Topic 7.docx
8,ARCH4004,Data Analysis in the findings of Topic 8,Data Analysis in the findings of Topic 8.jpg
8,ARCH4004,Research Questions to assist onTopic 8,Research Questions to assist onTopic 8.csv
8,ARCH4004,Findings about Topic 8,Findings about Topic 8.xls
8,ARCH4004,Experimental Setup for Topic 8,Experimental Setup for Topic 8.json
8,ARCH4004,Objectives for Topic 8,Objectives for Topic 8.txt
9,ARCH4004,Assumptions to be made in regards to Topic 9,Assumptions to be made in regards to Topic 9.mov
9,ARCH4004,Scope of Topic 9,Scope of Topic 9.pptx
9,ARCH4004,Recommendations to Topic 9,Recommendations to Topic 9.mp3
9,ARCH4004,Data Analysis in the findings of Topic 9,Data Analysis in the findings of Topic 9.mov
9,ARCH4004,Objectives for Topic 9,Objectives for Topic 9.xml
1,ARCH5005,Data Analysis in the findings of Topic 1,Data Analysis in the findings of Topic 1.doc
1,ARCH5005,Results from Topic 1,Results from Topic 1.pptx
1,ARCH5005,Research Questions to assist onTopic 1,Research Questions to assist onTopic 1.ppt
1,ARCH5005,Scope of Topic 1,Scope of Topic 1.txt
2,ARCH5005,Scope of Topic 2,Scope of Topic 2.doc
2,ARCH5005,Limitations on Topic 2,Limitations on Topic 2.txt
2,ARCH5005,Experimental Setup for Topic 2,Experimental Setup for Topic 2.mov
2,ARCH5005,Limitations on Topic 2,Limitations on Topic 2.flac
3,ARCH5005,Data Analysis in the findings of Topic 3,Data Analysis in the findings of Topic 3.csv
3,ARCH5005,References on Topic 3,References on Topic 3.xls
3,ARCH5005,Assumptions to be made in regards to Topic 3,Assumptions to be made in regards to Topic 3.mp4
3,ARCH5005,Data Collection based on Topic 3,Data Collection based on Topic 3.mp4
4,ARCH5005,Background Information on Topic 4,Background Information on Topic 4.docx
4,ARCH5005,Research Questions to assist onTopic 4,Research Questions to assist onTopic 4.json
4,ARCH5005,Results from Topic 4,Results from Topic 4.pptx
4,ARCH5005,Objectives for Topic 4,Objectives for Topic 4.pdf
5,ARCH5005,Recommendations to Topic 5,Recommendations to Topic 5.json
5,ARCH5005,Overview on Topic 5,Overview on Topic 5.txt
5,ARCH5005,Scope of Topic 5,Scope of Topic 5.pptx
5,ARCH5005,Recommendations to Topic 5,Recommendations to Topic 5.ppt
6,ARCH5005,Assumptions to be made in regards to Topic 6,Assumptions to be made in regards to Topic 6.ppt
6,ARCH5005,Conclusion on Topic 6,Conclusion on Topic 6.html
6,ARCH5005,Experimental Setup for Topic 6,Experimental Setup for Topic 6.mov
6,ARCH5005,Data Analysis in the findings of Topic 6,Data Analysis in the findings of Topic 6.csv
7,ARCH5005,Limitations on Topic 7,Limitations on Topic 7.xls
7,ARCH5005,Conclusion on Topic 7,Conclusion on Topic 7.flac
7,ARCH5005,Scope of Topic 7,Scope of Topic 7.csv
7,ARCH5005,References on Topic 7,References on Topic 7.docx
1,ARCH6006,Recommendations to Topic 1,Recommendations to Topic 1.doc
1,ARCH6006,Conclusion on Topic 1,Conclusion on Topic 1.svg
1,ARCH6006,Introduction to Topic 1,Introduction to Topic 1.mov
1,ARCH6006,Background Information on Topic 1,Background Information on Topic 1.txt
1,ARCH6006,Background Information on Topic 1,Background Information on Topic 1.mp3
1,ARCH6006,Conclusion on Topic 1,Conclusion on Topic 1.pptx
2,ARCH6006,Research Questions to assist onTopic 2,Research Questions to assist onTopic 2.txt
2,ARCH6006,Data Analysis in the findings of Topic 2,Data Analysis in the findings of Topic 2.mp3
2,ARCH6006,Conclusion on Topic 2,Conclusion on Topic 2.xls
2,ARCH6006,References on Topic 2,References on Topic 2.xls
2,ARCH6006,Methodology for undertaking Topic 2,Methodology for undertaking Topic 2.mov
2,ARCH6006,Conclusion on Topic 2,Conclusion on Topic 2.xls
3,ARCH6006,Background Information on Topic 3,Background Information on Topic 3.ppt
3,ARCH6006,Introduction to Topic 3,Introduction to Topic 3.html
3,ARCH6006,Recommendations to Topic 3,Recommendations to Topic 3.mp4
3,ARCH6006,Literature Review from Topic 3,Literature Review from Topic 3.mp3
3,ARCH6006,Results from Topic 3,Results from Topic 3.docx
3,ARCH6006,Experimental Setup for Topic 3,Experimental Setup for Topic 3.ppt
4,ARCH6006,Methodology for undertaking Topic 4,Methodology for undertaking Topic 4.xml
4,ARCH6006,Data Collection based on Topic 4,Data Collection based on Topic 4.csv
4,ARCH6006,References for Topic 4,References for Topic 4.svg
4,ARCH6006,Assumptions to be made in regards to Topic 4,Assumptions to be made in regards to Topic 4.xls
4,ARCH6006,Scope of Topic 4,Scope of Topic 4.mp3
4,ARCH6006,Introduction to Topic 4,Introduction to Topic 4.docx
5,ARCH6006,Overview on Topic 5,Overview on Topic 5.csv
5,ARCH6006,Methodology for undertaking Topic 5,Methodology for undertaking Topic 5.flac
5,ARCH6006,Data Analysis in the findings of Topic 5,Data Analysis in the findings of Topic 5.jpg
5,ARCH6006,Background Information on Topic 5,Background Information on Topic 5.html
5,ARCH6006,Limitations on Topic 5,Limitations on Topic 5.pdf
5,ARCH6006,Overview on Topic 5,Overview on Topic 5.pdf
6,ARCH6006,Results from Topic 6,Results from Topic 6.txt
6,ARCH6006,References on Topic 6,References on Topic 6.mov
6,ARCH6006,Literature Review from Topic 6,Literature Review from Topic 6.svg
6,ARCH6006,Conclusion on Topic 6,Conclusion on Topic 6.mp4
6,ARCH6006,Results from Topic 6,Results from Topic 6.pdf
6,ARCH6006,Results from Topic 6,Results from Topic 6.docx
7,ARCH6006,Data Analysis in the findings of Topic 7,Data Analysis in the findings of Topic 7.mp3
7,ARCH6006,Methodology for undertaking Topic 7,Methodology for undertaking Topic 7.doc
7,ARCH6006,Future Directions to Topic 7,Future Directions to Topic 7.mov
7,ARCH6006,Research Questions to assist onTopic 7,Research Questions to assist onTopic 7.ppt
7,ARCH6006,Background Information on Topic 7,Background Information on Topic 7.wav
7,ARCH6006,Objectives for Topic 7,Objectives for Topic 7.svg
8,ARCH6006,Introduction to Topic 8,Introduction to Topic 8.html
8,ARCH6006,Background Information on Topic 8,Background Information on Topic 8.xml
8,ARCH6006,Findings about Topic 8,Findings about Topic 8.doc
8,ARCH6006,Scope of Topic 8,Scope of Topic 8.json
8,ARCH6006,Assumptions to be made in regards to Topic 8,Assumptions to be made in regards to Topic 8.pdf
8,ARCH6006,References on Topic 8,References on Topic 8.svg
1,ARCH7007,Results from Topic 1,Results from Topic 1.docx
1,ARCH7007,Data Analysis in the findings of Topic 1,Data Analysis in the findings of Topic 1.docx
2,ARCH7007,References for Topic 2,References for Topic 2.xml
2,ARCH7007,Background Information on Topic 2,Background Information on Topic 2.pptx
3,ARCH7007,Data Analysis in the findings of Topic 3,Data Analysis in the findings of Topic 3.html
3,ARCH7007,Data Collection based on Topic 3,Data Collection based on Topic 3.docx
4,ARCH7007,Future Directions to Topic 4,Future Directions to Topic 4.doc
4,ARCH7007,Assumptions to be made in regards to Topic 4,Assumptions to be made in regards to Topic 4.flac
5,ARCH7007,Limitations on Topic 5,Limitations on Topic 5.json
5,ARCH7007,Introduction to Topic 5,Introduction to Topic 5.mov
6,ARCH7007,Literature Review from Topic 6,Literature Review from Topic 6.html
6,ARCH7007,Scope of Topic 6,Scope of Topic 6.svg
7,ARCH7007,Experimental Setup for Topic 7,Experimental Setup for Topic 7.doc
7,ARCH7007,Findings about Topic 7,Findings about Topic 7.xml
1,ARCH8008,Experimental Setup for Topic 1,Experimental Setup for Topic 1.mp3
1,ARCH8008,Background Information on Topic 1,Background Information on Topic 1.flac
1,ARCH8008,Objectives for Topic 1,Objectives for Topic 1.flac
1,ARCH8008,Scope of Topic 1,Scope of Topic 1.doc
1,ARCH8008,Limitations on Topic 1,Limitations on Topic 1.xml
2,ARCH8008,Scope of Topic 2,Scope of Topic 2.xml
2,ARCH8008,Recommendations to Topic 2,Recommendations to Topic 2.ppt
2,ARCH8008,Objectives for Topic 2,Objectives for Topic 2.xls
2,ARCH8008,Assumptions to be made in regards to Topic 2,Assumptions to be made in regards to Topic 2.doc
2,ARCH8008,Background Information on Topic 2,Background Information on Topic 2.doc
3,ARCH8008,Recommendations to Topic 3,Recommendations to Topic 3.xml
3,ARCH8008,Results from Topic 3,Results from Topic 3.ppt
3,ARCH8008,Overview on Topic 3,Overview on Topic 3.json
3,ARCH8008,Literature Review from Topic 3,Literature Review from Topic 3.pdf
3,ARCH8008,References for Topic 3,References for Topic 3.wav
4,ARCH8008,Limitations on Topic 4,Limitations on Topic 4.wav
4,ARCH8008,Objectives for Topic 4,Objectives for Topic 4.xls
4,ARCH8008,References on Topic 4,References on Topic 4.xml
4,ARCH8008,Results from Topic 4,Results from Topic 4.docx
4,ARCH8008,Data Analysis in the findings of Topic 4,Data Analysis in the findings of Topic 4.xml
5,ARCH8008,Research Questions to assist onTopic 5,Research Questions to assist onTopic 5.xml
5,ARCH8008,Objectives for Topic 5,Objectives for Topic 5.html
5,ARCH8008,Conclusion on Topic 5,Conclusion on Topic 5.json
5,ARCH8008,Methodology for undertaking Topic 5,Methodology for undertaking Topic 5.pptx
5,ARCH8008,Objectives for Topic 5,Objectives for Topic 5.mp4
6,ARCH8008,Background Information on Topic 6,Background Information on Topic 6.doc
6,ARCH8008,Introduction to Topic 6,Introduction to Topic 6.pptx
6,ARCH8008,Scope of Topic 6,Scope of Topic 6.flac
6,ARCH8008,Objectives for Topic 6,Objectives for Topic 6.jpg
6,ARCH8008,Background Information on Topic 6,Background Information on Topic 6.wav
7,ARCH8008,Experimental Setup for Topic 7,Experimental Setup for Topic 7.xls
7,ARCH8008,Overview on Topic 7,Overview on Topic 7.flac
7,ARCH8008,Data Analysis in the findings of Topic 7,Data Analysis in the findings of Topic 7.mov
7,ARCH8008,Literature Review from Topic 7,Literature Review from Topic 7.json
7,ARCH8008,Background Information on Topic 7,Background Information on Topic 7.wav
8,ARCH8008,Overview on Topic 8,Overview on Topic 8.txt
8,ARCH8008,Background Information on Topic 8,Background Information on Topic 8.doc
8,ARCH8008,Conclusion on Topic 8,Conclusion on Topic 8.json
8,ARCH8008,Research Questions to assist onTopic 8,Research Questions to assist onTopic 8.wav
8,ARCH8008,Conclusion on Topic 8,Conclusion on Topic 8.mp3
1,BIOL1001,Background Information on Topic 1,Background Information on Topic 1.csv
1,BIOL1001,Experimental Setup for Topic 1,Experimental Setup for Topic 1.ppt
1,BIOL1001,Data Collection based on Topic 1,Data Collection based on Topic 1.xml
2,BIOL1001,Results from Topic 2,Results from Topic 2.jpg
2,BIOL1001,Future Directions to Topic 2,Future Directions to Topic 2.xls
2,BIOL1001,Introduction to Topic 2,Introduction to Topic 2.docx
3,BIOL1001,Conclusion on Topic 3,Conclusion on Topic 3.xml
3,BIOL1001,Overview on Topic 3,Overview on Topic 3.ppt
3,BIOL1001,Conclusion on Topic 3,Conclusion on Topic 3.jpg
4,BIOL1001,Recommendations to Topic 4,Recommendations to Topic 4.xls
4,BIOL1001,Research Questions to assist onTopic 4,Research Questions to assist onTopic 4.pdf
4,BIOL1001,Introduction to Topic 4,Introduction to Topic 4.docx
5,BIOL1001,References for Topic 5,References for Topic 5.mp4
5,BIOL1001,Scope of Topic 5,Scope of Topic 5.wav
5,BIOL1001,Findings about Topic 5,Findings about Topic 5.mov
6,BIOL1001,Data Analysis in the findings of Topic 6,Data Analysis in the findings of Topic 6.jpg
6,BIOL1001,Experimental Setup for Topic 6,Experimental Setup for Topic 6.flac
6,BIOL1001,Experimental Setup for Topic 6,Experimental Setup for Topic 6.jpg
7,BIOL1001,Data Collection based on Topic 7,Data Collection based on Topic 7.doc
7,BIOL1001,Experimental Setup for Topic 7,Experimental Setup for Topic 7.json
7,BIOL1001,Recommendations to Topic 7,Recommendations to Topic 7.doc
8,BIOL1001,Scope of Topic 8,Scope of Topic 8.pptx
8,BIOL1001,Findings about Topic 8,Findings about Topic 8.ppt
8,BIOL1001,Overview on Topic 8,Overview on Topic 8.doc
9,BIOL1001,Findings about Topic 9,Findings about Topic 9.jpg
9,BIOL1001,Literature Review from Topic 9,Literature Review from Topic 9.xls
9,BIOL1001,References for Topic 9,References for Topic 9.doc
1,BIOL1011,Overview on Topic 1,Overview on Topic 1.wav
1,BIOL1011,Experimental Setup for Topic 1,Experimental Setup for Topic 1.mp3
2,BIOL1011,Methodology for undertaking Topic 2,Methodology for undertaking Topic 2.xml
2,BIOL1011,Background Information on Topic 2,Background Information on Topic 2.pptx
3,BIOL1011,Experimental Setup for Topic 3,Experimental Setup for Topic 3.json
3,BIOL1011,Data Collection based on Topic 3,Data Collection based on Topic 3.mov
4,BIOL1011,Scope of Topic 4,Scope of Topic 4.html
4,BIOL1011,Overview on Topic 4,Overview on Topic 4.csv
5,BIOL1011,Data Collection based on Topic 5,Data Collection based on Topic 5.mp4
5,BIOL1011,Background Information on Topic 5,Background Information on Topic 5.mov
6,BIOL1011,Recommendations to Topic 6,Recommendations to Topic 6.xml
6,BIOL1011,Future Directions to Topic 6,Future Directions to Topic 6.ppt
7,BIOL1011,Limitations on Topic 7,Limitations on Topic 7.json
7,BIOL1011,Research Questions to assist onTopic 7,Research Questions to assist onTopic 7.ppt
8,BIOL1011,Research Questions to assist onTopic 8,Research Questions to assist onTopic 8.pptx
8,BIOL1011,Objectives for Topic 8,Objectives for Topic 8.pptx
1,BIOL1021,Limitations on Topic 1,Limitations on Topic 1.jpg
1,BIOL1021,References on Topic 1,References on Topic 1.wav
1,BIOL1021,References for Topic 1,References for Topic 1.txt
1,BIOL1021,Methodology for undertaking Topic 1,Methodology for undertaking Topic 1.txt
1,BIOL1021,Overview on Topic 1,Overview on Topic 1.txt
2,BIOL1021,Objectives for Topic 2,Objectives for Topic 2.doc
2,BIOL1021,Assumptions to be made in regards to Topic 2,Assumptions to be made in regards to Topic 2.docx
2,BIOL1021,Results from Topic 2,Results from Topic 2.pdf
2,BIOL1021,Overview on Topic 2,Overview on Topic 2.csv
2,BIOL1021,Literature Review from Topic 2,Literature Review from Topic 2.mov
3,BIOL1021,Research Questions to assist onTopic 3,Research Questions to assist onTopic 3.csv
3,BIOL1021,Scope of Topic 3,Scope of Topic 3.svg
3,BIOL1021,Background Information on Topic 3,Background Information on Topic 3.flac
3,BIOL1021,Limitations on Topic 3,Limitations on Topic 3.mp3
3,BIOL1021,Future Directions to Topic 3,Future Directions to Topic 3.doc
4,BIOL1021,Introduction to Topic 4,Introduction to Topic 4.flac
4,BIOL1021,Recommendations to Topic 4,Recommendations to Topic 4.csv
4,BIOL1021,Experimental Setup for Topic 4,Experimental Setup for Topic 4.ppt
4,BIOL1021,Research Questions to assist onTopic 4,Research Questions to assist onTopic 4.pdf
4,BIOL1021,Experimental Setup for Topic 4,Experimental Setup for Topic 4.mp4
5,BIOL1021,Scope of Topic 5,Scope of Topic 5.flac
5,BIOL1021,Data Collection based on Topic 5,Data Collection based on Topic 5.ppt
5,BIOL1021,Introduction to Topic 5,Introduction to Topic 5.docx
5,BIOL1021,Introduction to Topic 5,Introduction to Topic 5.svg
5,BIOL1021,Recommendations to Topic 5,Recommendations to Topic 5.pdf
1,BIOL2021,Data Analysis in the findings of Topic 1,Data Analysis in the findings of Topic 1.csv
1,BIOL2021,Methodology for undertaking Topic 1,Methodology for undertaking Topic 1.txt
2,BIOL2021,Results from Topic 2,Results from Topic 2.xml
2,BIOL2021,Research Questions to assist onTopic 2,Research Questions to assist onTopic 2.mp4
3,BIOL2021,Assumptions to be made in regards to Topic 3,Assumptions to be made in regards to Topic 3.doc
3,BIOL2021,References on Topic 3,References on Topic 3.pdf
4,BIOL2021,Assumptions to be made in regards to Topic 4,Assumptions to be made in regards to Topic 4.html
4,BIOL2021,Data Analysis in the findings of Topic 4,Data Analysis in the findings of Topic 4.svg
5,BIOL2021,Background Information on Topic 5,Background Information on Topic 5.flac
5,BIOL2021,Experimental Setup for Topic 5,Experimental Setup for Topic 5.html
6,BIOL2021,Research Questions to assist onTopic 6,Research Questions to assist onTopic 6.svg
6,BIOL2021,Introduction to Topic 6,Introduction to Topic 6.mp4
7,BIOL2021,Findings about Topic 7,Findings about Topic 7.svg
7,BIOL2021,Findings about Topic 7,Findings about Topic 7.csv
8,BIOL2021,Data Collection based on Topic 8,Data Collection based on Topic 8.mov
8,BIOL2021,Scope of Topic 8,Scope of Topic 8.xls
1,BIOL3011,Data Analysis in the findings of Topic 1,Data Analysis in the findings of Topic 1.pptx
1,BIOL3011,Objectives for Topic 1,Objectives for Topic 1.xml
1,BIOL3011,Assumptions to be made in regards to Topic 1,Assumptions to be made in regards to Topic 1.txt
2,BIOL3011,References on Topic 2,References on Topic 2.doc
2,BIOL3011,Conclusion on Topic 2,Conclusion on Topic 2.docx
2,BIOL3011,Experimental Setup for Topic 2,Experimental Setup for Topic 2.doc
3,BIOL3011,Background Information on Topic 3,Background Information on Topic 3.pdf
3,BIOL3011,References on Topic 3,References on Topic 3.ppt
3,BIOL3011,Data Collection based on Topic 3,Data Collection based on Topic 3.mp4
4,BIOL3011,Overview on Topic 4,Overview on Topic 4.pdf
4,BIOL3011,Limitations on Topic 4,Limitations on Topic 4.mov
4,BIOL3011,Objectives for Topic 4,Objectives for Topic 4.mp4
5,BIOL3011,Overview on Topic 5,Overview on Topic 5.mp4
5,BIOL3011,Future Directions to Topic 5,Future Directions to Topic 5.svg
5,BIOL3011,Future Directions to Topic 5,Future Directions to Topic 5.mp4
6,BIOL3011,Limitations on Topic 6,Limitations on Topic 6.svg
6,BIOL3011,Data Analysis in the findings of Topic 6,Data Analysis in the findings of Topic 6.xls
6,BIOL3011,Research Questions to assist onTopic 6,Research Questions to assist onTopic 6.jpg
7,BIOL3011,Future Directions to Topic 7,Future Directions to Topic 7.doc
7,BIOL3011,Future Directions to Topic 7,Future Directions to Topic 7.mp4
7,BIOL3011,Recommendations to Topic 7,Recommendations to Topic 7.mp3
1,BIOL3021,Background Information on Topic 1,Background Information on Topic 1.jpg
1,BIOL3021,Background Information on Topic 1,Background Information on Topic 1.xls
1,BIOL3021,Methodology for undertaking Topic 1,Methodology for undertaking Topic 1.html
2,BIOL3021,Conclusion on Topic 2,Conclusion on Topic 2.html
2,BIOL3021,Methodology for undertaking Topic 2,Methodology for undertaking Topic 2.pptx
2,BIOL3021,Overview on Topic 2,Overview on Topic 2.txt
3,BIOL3021,Findings about Topic 3,Findings about Topic 3.svg
3,BIOL3021,References on Topic 3,References on Topic 3.doc
3,BIOL3021,Limitations on Topic 3,Limitations on Topic 3.xls
